Timestamp,RSI,High_index_log_scaled,Low_index_log_scaled,Close_index_log_scaled,Adj_Close_index_log_scaled,Volume_tbills_log_scaled,High-Close_log_scaled,GDP per capita_log_scaled,Open_index_t-1_log_scaled,Open_index_t-2_log_scaled,Open_index_t-3_log_scaled,Open_index_t-4_log_scaled,Open_index_t-5_log_scaled,Open_index_t-6_log_scaled,Open_index_t-7_log_scaled,Low-Open_pt_qt,Volume_index_log_scaled_pt_qt,Open_tbills_log_scaled_pt_qt,High_tbills_log_scaled_pt_qt,Low_tbills_log_scaled_pt_qt,Close_tbills_log_scaled_pt_qt,Adj_Close_tbills_log_scaled_pt_qt,Gold_price_log_scaled_pt_qt,Federal Funds Rate (%)_log_scaled_pt_qt,CPI_log_scaled_pt_qt,Unemployment Rate (%)_log_scaled_pt_qt,7-day SMA_log_scaled_pt_qt,14-day EMA_log_scaled_pt_qt
765763200,43.53140916808151,-2.517676864460177,-2.5070193832861114,-2.520480977854861,-2.520480977854861,-0.08662978820111221,-2.232011395684397,-2.5263403890424003,-2.520010348148301,-2.5060502928853725,-2.519662412927858,-2.528657408730735,-2.5292476667406594,-2.531124880858042,-2.55357480455591,-0.026348991391840625,-2.2056856387640527,0.2913668425391681,0.2861349357549178,0.3018547881702473,0.29449105467985504,0.29449105467985504,-0.3818130131025964,-5.199337582605575,0.21877935358222442,-5.199337582605575,0.6226211131134609,-0.06654121327816442
766022400,44.529350468912874,-2.5207587222055823,-2.4980528331774563,-2.504906199403034,-2.504906199403034,-0.08662978820111221,-2.0629403097727836,-2.5289684492575137,-2.5047749597527598,-2.5184141284266643,-2.52739394336601,-2.5279791089363908,-2.5298695632268258,-2.5523080890110696,-2.55357480455591,0.9694267073728421,-2.5166570489618283,0.2984673584201339,0.2966067370967752,0.3018547881702473,0.2913668425391681,0.2913668425391681,-0.4902973313547386,-5.199337582605575,0.22061472976724336,-5.199337582605575,0.6226211131134609,-1.0752065081884519
766108800,39.69811320754723,-2.5181809116913527,-2.4967584197483075,-2.517831555533328,-2.517831555533328,-0.08662978820111221,-1.8479731152973333,-2.5287261463413144,-2.5171361460772386,-2.5261440972797478,-2.5267157833349256,-2.528600876797355,-2.5510485348356844,-2.5523080890110696,-2.556885375826265,0.4417658421101638,-2.272836502370188,0.30295424493418843,0.29791929045986026,0.304481925592967,0.2966067370967752,0.2966067370967752,-0.5379803848163829,-5.199337582605575,0.21119645517027746,-5.199337582605575,0.6226211131134609,-0.18165039446129136
766195200,39.698113207547095,-2.530702252853434,-2.523399141137816,-2.5252230445516193,-2.5252230445516193,-0.08662978820111221,-1.9794010241212099,-2.530802292110445,-2.5248644586187843,-2.525466074220843,-2.5273374230810006,-2.5497754680156546,-2.5510485348356844,-2.5556179881740553,-2.5185102377226944,0.027203014472193553,-2.0738618208249444,0.3005709848155524,0.2966067370967752,0.3018547881702473,0.2966067370967752,0.2966067370967752,-0.5310334757406164,-5.199337582605575,0.22134370153416588,-5.199337582605575,0.6226211131134609,-0.3897834311389473
766281600,40.643712574850305,-2.536450218844249,-2.518003047984253,-2.524545061449495,-2.524545061449495,-0.08662978820111221,-1.8646498501741355,-2.5312856093577047,-2.5241865808408552,-2.5260875884104905,-2.5485076512876725,-2.5497754680156546,-2.5543577720340656,-2.5172506409352686,-2.5246496259428177,0.4072431599618655,-2.1002288716115105,0.2913668425391681,0.2939857808389507,0.3018547881702473,0.3007121405161263,0.3007121405161263,-0.5405192705445103,-5.199337582605575,0.22648937660749202,-5.199337582605575,0.6226211131134609,-0.739226405748674
766368000,47.27393617021279,-2.534758284895042,-2.505325140050155,-2.5256751343511694,-2.5256751343511694,-0.08662978820111221,-1.792564322694457,-2.5306517467610163,-2.5248079618577637,-2.547253540735105,-2.5485076512876725,-2.553084020773278,-2.515998098088202,-2.5233887827457147,-2.4962186915528024,0.8266977298382923,-1.7928478581269263,0.30867054100407093,0.3030012635489114,0.3084279157228164,0.3018547881702473,0.3018547881702473,-0.5447890069356062,-5.199337582605575,0.23368913955345938,-5.199337582605575,0.6226211131134609,-0.5657356256413304
766627200,50.219711236660366,-2.5346455295095702,-2.5298897270238405,-2.546787125849327,-2.546787125849327,-0.08662978820111221,-1.331747155110561,-2.530024889562455,-2.5459693789233495,-2.547253540735105,-2.5518155223200147,-2.5147322806570975,-2.5221350122985275,-2.494963620362693,-2.5010747203102848,0.06151263655249807,-2.1289570069898414,0.3005709848155524,0.3137598302612654,0.3084279157228164,0.3123760433228348,0.3123760433228348,-0.5367278214118276,-5.199337582605575,0.2505435922857912,-5.199337582605575,0.6226211131134609,0.18292756400590918
766713600,45.10854243022276,-2.5518990267028028,-2.5450423397999447,-2.546331244000029,-2.546331244000029,-0.08662978820111221,-1.1574808570770514,-2.5292061807917636,-2.5459693789233495,-2.5505607436562556,-2.5134716845565337,-2.5208679255857236,-2.4937155348172007,-2.4998186632562724,-2.51659824350231,0.22391579796511588,-1.6945669009505053,0.31764959351109384,0.3151350493247225,0.32028967585708196,0.32028967585708196,0.32028967585708196,-0.5760638019164269,-5.199337582605575,0.25231085193165653,-5.199337582605575,0.6226211131134609,-0.3979179193672613
766800000,50.59629535650848,-2.550820776051291,-2.54177540628009,-2.5496382520234113,-2.5496382520234113,-0.08662978820111221,-1.2716300444687412,-2.525023317020274,-2.5492758732053766,-2.5122246504350763,-2.519606065239258,-2.4924543260295935,-2.498569606724539,-2.5153390348851725,-2.5062759751870036,0.3282234180153813,-1.4884550581578098,0.31501172334262695,0.3123760433228348,0.32028967585708196,0.32028967585708196,0.32028967585708196,-0.5790342516963322,-5.199337582605575,0.25231085193165653,-5.199337582605575,0.6226211131134609,-0.22391579796509645
766886400,57.13467048710608,-2.5274958316978062,-2.527154812931125,-2.5113044179980477,-2.5113044179980477,-0.08662978820111221,-1.4701449810117186,-2.5202055036489726,-2.5109479943139967,-2.518357792118956,-2.491198320288016,-2.4973073939821058,-2.514086874350521,-2.5050188621817826,-2.494267742779805,5.19933758270342,-1.4470139641644713,0.31422878689685485,0.3137598302612654,0.32028967585708196,0.32028967585708196,0.32028967585708196,-0.5745885093166752,-5.199337582605575,0.2505435922857912,-5.199337582605575,0.6226211131134609,-1.1210601441231978
